epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,144.011,1.18058,1.69496,1.22631,0.785,0.56383,0.69481,0.45183,1.14577,2.16299,1.46608,0.000655914,0.000655914,0.000655914
2,292.134,1.18688,1.29205,1.25035,0.76858,0.74651,0.81427,0.505,1.33536,1.81847,1.6534,0.00129639,0.00129639,0.00129639
3,444.014,1.19059,1.23997,1.24812,0.74468,0.74076,0.80008,0.5392,1.2441,1.97816,1.65477,0.00191047,0.00191047,0.00191047
4,594.814,1.20321,1.21158,1.25345,0.81628,0.7,0.81422,0.5462,1.27823,2.72225,1.62897,0.0018812,0.0018812,0.0018812
5,740.695,1.14574,1.09235,1.21487,0.76199,0.73096,0.81873,0.54702,1.30066,1.68231,1.66919,0.0018416,0.0018416,0.0018416
6,885.022,1.20346,1.11685,1.25692,0.7714,0.7809,0.84275,0.55213,1.30385,1.49706,1.62184,0.001802,0.001802,0.001802
7,1030.03,1.15837,1.07859,1.25783,0.80667,0.74773,0.8361,0.56544,1.29177,1.57968,1.62638,0.0017624,0.0017624,0.0017624
8,1172.28,1.12296,1.04901,1.22344,0.8362,0.80929,0.889,0.62171,1.17404,1.22436,1.49126,0.0017228,0.0017228,0.0017228
9,1313.43,1.11782,1.03596,1.23966,0.83313,0.84602,0.89898,0.63996,1.15166,1.1905,1.46928,0.0016832,0.0016832,0.0016832
10,1454.69,1.09009,0.97806,1.21117,0.88208,0.81419,0.9092,0.65761,1.08932,1.00343,1.41528,0.0016436,0.0016436,0.0016436
11,1595.26,1.06068,0.9456,1.19761,0.84583,0.86177,0.92139,0.67969,1.08285,1.09427,1.41943,0.001604,0.001604,0.001604
12,1735.52,1.06001,0.92816,1.18887,0.86823,0.86007,0.9264,0.67466,1.08446,0.91743,1.40513,0.0015644,0.0015644,0.0015644
